Provinsi,Kabupaten_Kota,Tahun,Garis Kemiskinan (Rupiah/Kapita/Bulan),Indeks Pembangunan Gender,Indeks Pembangunan Manusia,Kepadatan Penduduk (Jiwa/km2),PDRB ADHK (Milyar Rupiah),Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),Persentase Penduduk Miskin (%),Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),Rata-Rata Lama Sekolah (Tahun),Umur Harapan Hidup (Tahun)
Bangka Belitung,Bangka,2023,685810.0,89.24,74.34,112.0,11753.74,13146.0,4.32,97.26,8.32,71.6
Bangka Belitung,Bangka,2024,723719.0,89.07,74.66,113.0,11702.39,13205.0,4.24,96.23,8.45,71.8
Bangka Belitung,Bangka Barat,2020,589894.0,90.03,69.75,73.0,10312.21,12233.0,,93.64,7.22,70.06
Bangka Belitung,Bangka Barat,2021,599887.0,90.04,70.28,73.0,10333.0,12269.0,2.75,89.99,7.44,70.08
Bangka Belitung,Bangka Barat,2022,635861.0,90.29,70.79,58.0,10539.45,12790.0,2.46,91.02,7.46,70.25
Bangka Belitung,Bangka Barat,2023,681517.0,90.36,71.13,59.0,10804.72,13105.0,2.71,90.87,7.47,70.43
Bangka Belitung,Bangka Barat,2024,720398.0,90.35,71.36,60.0,11395.65,13199.0,2.59,91.88,7.48,70.59
Bangka Belitung,Bangka Selatan,2020,561617.0,83.81,68.1,55.0,6057.88,11757.0,3.52,85.27,6.67,68.16
Bangka Belitung,Bangka Selatan,2021,581970.0,84.31,68.24,56.0,,11768.0,3.69,83.39,6.71,68.35
Bangka Belitung,Bangka Selatan,2022,621629.0,84.94,69.12,71.0,,12341.0,3.22,86.48,6.89,68.68
Bangka Belitung,Bangka Selatan,2023,669016.0,84.81,69.67,72.0,6706.35,12627.0,,89.27,6.91,68.98
Bangka Belitung,Bangka Selatan,2024,697382.0,85.25,70.01,73.0,6766.44,12718.0,3.74,91.14,6.93,69.24
Bangka Belitung,Bangka Tengah,2020,721331.0,91.49,71.11,92.0,,12909.0,4.85,94.45,7.19,71.36
Bangka Belitung,Bangka Tengah,2021,735479.0,91.34,71.55,94.0,5987.14,12945.0,5.13,92.66,,71.52
Bangka Belitung,Bangka Tengah,2022,773509.0,91.77,72.06,91.0,6351.45,13422.0,4.86,93.79,7.22,71.82
Bangka Belitung,Bangka Tengah,2023,814969.0,91.91,72.36,92.0,6678.27,13643.0,5.29,92.97,7.23,72.11
Bangka Belitung,Bangka Tengah,2024,856895.0,91.96,72.54,93.0,6655.38,13677.0,5.94,94.91,7.24,72.36
